Price,Close,High,Low,Open,Volume
Ticker,MNQ=F,MNQ=F,MNQ=F,MNQ=F,MNQ=F
Date,,,,,
2020-06-12,9645.0,9849.0,9495.0,9618.0,562175
2020-06-15,9800.5,9817.0,9381.0,9540.25,291800
2020-06-16,9972.5,10015.5,9797.0,9816.25,119947
2020-06-17,9994.5,10061.25,9926.0,9962.75,51095
2020-06-18,9995.75,10042.5,9879.0,9998.5,26221
2020-06-19,10120.83984375,10130.0,9995.25,9995.75,523577
2020-06-22,10124.75,10134.5,9841.25,9884.5,408045
2020-06-23,10196.0,10296.0,9972.5,10120.5,510909
2020-06-24,10010.75,10241.75,9927.25,10183.5,686824
2020-06-25,10088.25,10107.25,9885.5,10005.75,666554
2020-06-26,9865.5,10120.5,9824.0,10088.0,666019
2020-06-29,9973.75,9997.25,9729.0,9796.5,584700
2020-06-30,10147.25,10171.5,9940.0,9984.0,494716
2020-07-01,10268.75,10309.0,10075.75,10141.0,452933
2020-07-02,10355.75,10422.5,10247.75,10256.25,421788
2020-07-06,10598.5,10614.25,10334.0,10334.0,610373
2020-07-07,10532.25,10694.5,10506.0,10599.0,562333
2020-07-08,10662.25,10673.25,10505.25,10527.75,567004
2020-07-09,10727.5,10774.25,10560.25,10674.0,661262
2020-07-10,10837.25,10847.25,10625.5,10727.5,607021
2020-07-13,10600.0,11058.25,10562.0,10847.5,822836
2020-07-14,10646.25,10693.0,10358.75,10601.25,1155362
2020-07-15,10683.25,10766.5,10551.5,10686.5,845839
2020-07-16,10511.75,10698.5,10475.5,10692.75,787591
2020-07-17,10622.5,10669.0,10523.5,10534.0,560081
2020-07-20,10951.0,10964.0,10545.5,10622.0,564419
2020-07-21,10851.0,11057.75,10784.75,10952.25,721648
2020-07-22,10804.25,10916.25,10761.75,10850.5,650917
2020-07-23,10548.25,10938.5,10514.5,10849.75,827513
2020-07-24,10459.0,10597.75,10301.25,10566.25,894230
2020-07-27,10675.25,10684.25,10400.5,10488.25,663644
2020-07-28,10540.0,10758.5,10513.75,10683.0,716565
2020-07-29,10674.25,10699.75,10512.0,10557.75,547350
2020-07-30,10794.0,10896.5,10502.75,10699.5,820359
2020-07-31,10890.5,10939.25,10691.0,10905.0,900180
2020-08-03,11044.25,11073.0,10876.25,10928.75,530798
2020-08-04,11086.0,11094.75,10982.75,11052.5,657879
2020-08-05,11091.75,11143.5,11055.75,11079.25,466620
2020-08-06,11261.25,11271.5,11051.5,11093.5,623322
2020-08-07,11122.75,11283.25,11035.25,11260.25,756398
2020-08-10,11072.0,11159.25,10928.5,11140.0,615293
2020-08-11,10878.5,11157.5,10845.25,11072.5,727011
2020-08-12,11126.0,11184.5,10878.25,10923.25,632682
2020-08-13,11175.25,11265.75,11094.25,11115.75,607227
2020-08-14,11133.75,11237.25,11096.0,11181.0,567136
2020-08-17,11286.75,11300.5,11145.0,11145.25,375239
2020-08-18,11409.25,11415.0,11268.5,11285.25,491423
2020-08-19,11332.0,11444.75,11298.75,11413.5,597398
2020-08-20,11477.25,11496.5,11221.5,11327.5,529487
2020-08-21,11562.0,11573.5,11407.0,11479.0,513368
2020-08-24,11636.25,11722.5,11528.25,11580.0,667533
2020-08-25,11726.25,11744.25,11574.75,11634.75,564195
2020-08-26,11991.25,12002.0,11726.5,11739.25,636184
2020-08-27,11952.75,12046.25,11834.5,11983.75,894371
2020-08-28,11991.75,12018.0,11920.25,11951.75,650847
2020-08-31,12114.0,12165.0,11988.25,12003.0,668466
2020-09-01,12312.5,12330.0,12093.0,12109.0,684199
2020-09-02,12411.5,12466.0,12172.25,12326.75,1182885
2020-09-03,11800.5,12438.5,11658.25,12408.25,1864033
2020-09-04,11548.75,11843.25,11141.25,11748.75,1646516
2020-09-08,11060.5,11585.5,11041.5,11531.5,1730999
2020-09-09,11392.75,11478.75,10935.0,11014.25,998417
2020-09-10,11178.25,11567.0,11087.75,11374.75,1132804
2020-09-11,11061.5,11356.75,10937.5,11187.25,685406
2020-09-14,11280.5,11362.25,11094.75,11094.75,288165
2020-09-15,11464.25,11495.25,11247.25,11279.0,176835
2020-09-16,11268.75,11550.0,11237.25,11461.0,144606
2020-09-17,11090.0,11302.5,10918.0,11269.25,141231
2020-09-18,11144.8095703125,11179.5,11036.5,11062.25,1058853
2020-09-21,10989.0,11010.0,10656.75,10927.0,1228173
2020-09-22,11149.5,11192.25,10897.25,10972.75,908037
2020-09-23,10829.0,11222.5,10786.0,11160.25,1005442
2020-09-24,10891.75,11011.75,10657.75,10803.25,1190282
2020-09-25,11136.5,11169.0,10813.75,10910.75,886317
2020-09-28,11394.75,11404.5,11136.0,11140.0,687584
2020-09-29,11337.75,11449.0,11289.75,11388.5,641939
2020-09-30,11407.25,11525.25,11167.5,11321.25,922780
2020-10-01,11574.75,11598.75,11372.25,11372.25,739364
2020-10-02,11233.25,11604.75,11205.0,11567.75,1158401
2020-10-05,11469.25,11496.75,11268.0,11285.25,635347
2020-10-06,11273.75,11524.25,11197.5,11475.0,1003949
2020-10-07,11470.0,11507.5,11208.5,11217.25,672177
2020-10-08,11539.0,11578.25,11470.0,11474.5,588811
2020-10-09,11724.75,11740.0,11553.0,11561.0,495693
2020-10-12,12098.25,12197.0,11691.75,11728.75,915877
2020-10-13,12094.0,12249.0,12018.0,12098.75,1029928
2020-10-14,11974.25,12177.75,11901.75,12080.0,930587
2020-10-15,11874.0,11983.75,11737.0,11951.0,917362
2020-10-16,11798.0,12021.75,11792.25,11891.25,754824
2020-10-19,11650.25,11950.75,11592.0,11815.75,906804
2020-10-20,11660.75,11792.0,11598.75,11697.75,907890
2020-10-21,11691.25,11779.25,11581.25,11673.0,929366
2020-10-22,11649.75,11723.75,11511.0,11686.25,911764
2020-10-23,11663.5,11691.5,11550.5,11666.75,729889
2020-10-26,11492.25,11695.75,11343.25,11650.25,944202
2020-10-27,11588.0,11623.0,11478.0,11497.5,794205
2020-10-28,11132.75,11566.5,11124.0,11560.75,1055403
2020-10-29,11342.75,11457.75,11145.0,11181.75,941469
2020-10-30,11046.25,11281.25,10944.25,11218.5,1374709
2020-11-02,11063.25,11212.0,10942.25,11039.0,1112623
2020-11-03,11265.75,11347.25,11065.0,11075.25,914456
2020-11-04,11763.0,11845.25,11230.0,11256.5,1346293
2020-11-05,12076.5,12118.5,11771.25,11817.75,1087585
2020-11-06,12075.0,12109.0,11869.5,12087.75,1277042
2020-11-09,11820.5,12408.0,11812.75,12134.75,1592797
2020-11-10,11618.25,11901.25,11503.0,11863.25,1852259
2020-11-11,11886.0,11919.5,11575.0,11634.75,1115308
2020-11-12,11820.0,11975.0,11775.75,11899.75,1082972
2020-11-13,11933.5,11952.75,11801.75,11861.25,881222
2020-11-16,12005.0,12065.25,11853.25,11953.5,892223
2020-11-17,11975.0,12093.0,11954.25,12060.25,868762
2020-11-18,11897.0,12027.75,11862.5,11973.0,915590
2020-11-19,11987.25,12000.0,11804.5,11876.75,841570
2020-11-20,11905.75,12021.5,11873.25,11960.25,727445
2020-11-23,11905.25,12001.75,11808.25,11907.75,774828
2020-11-24,12076.0,12105.25,11872.5,11915.0,679842
2020-11-25,12152.25,12177.75,12078.5,12099.0,646303
2020-11-27,12257.5,12307.75,12126.5,12168.25,521924
2020-11-30,12277.0,12336.75,12085.75,12286.25,930759
2020-12-01,12452.25,12512.5,12312.0,12327.5,952086
2020-12-02,12454.25,12475.0,12313.75,12458.25,855549
2020-12-03,12462.25,12540.25,12443.5,12471.75,717437
2020-12-04,12526.0,12535.5,12448.5,12488.0,595128
2020-12-07,12596.0,12612.25,12475.0,12523.75,642497
2020-12-08,12637.5,12652.25,12502.5,12572.25,716926
2020-12-09,12367.0,12674.75,12306.5,12657.5,1247179
